# Pointing,RA,DEC,integration time, IDs
P126+34,126.011875,34.3937272222,0.0,None
P013+06,13.9895708333,5.94568666667,0.0,None
P246+58,246.8325375,57.6491947222,8.01, 560181
P220+05,220.606091667,4.78680638889,0.0,None
P066+34,66.5408541667,33.9903975,0.0,None
P066+31,66.8091375,31.4826638889,0.0,None
P235+40,235.191558333,40.0115347222,8.01, 370472
P086+62,86.227,61.7398680556,0.0,None
P292+73,292.2028125,73.0133686111,0.0,None
P154+50,154.8942,49.6145783333,8.01, 345594
P085+27,85.5115916667,26.6006011111,0.0,None
P224+27,224.993970833,27.4024430556,0.0,None
P342+33,342.5811125,33.2836588889,0.0,None
P115+54,115.521495833,54.4069977778,0.0,None
P342+31,342.128504167,30.7697752778,8.01, 544963
P085+29,85.3455,29.1094094444,0.0,None
P069+59,69.4706666667,59.1084708333,0.0,None
P338+63,338.656333333,63.3640536111,0.0,None
P124+12,124.7354,11.7960413889,0.0,None
P345+21,345.6487,20.7600488889,0.0,None
P154+35,154.274845833,34.5531636111,0.0,None
P056+56,56.0992958333,56.4958077778,0.0,None
P039+59,39.3067,58.8685227778,0.0,None
P345+23,345.9355,23.2726036111,0.0,None
P219+15,219.641266667,14.8218727778,0.0,None
P053+06,53.0384125,6.2736625,0.0,None
P231+30,231.155004167,29.9481869444,0.0,None
P053+09,53.3179041667,8.78609,0.0,None
P221+25,221.424208333,24.8721083333,0.0,None
P067+01,67.26825,1.36477361111,0.0,None
P222+12,222.6756625,12.3289488889,0.0,None
P221+20,221.468516667,19.8523222222,0.0,None
P067+04,67.4403583333,3.87631333333,0.0,None
P210+32,210.1899375,32.3396944444,0.0,None
P210+30,210.253945833,29.8298922222,0.0,None
P309+30,309.035925,30.4919041667,0.0,None
P309+36,309.120683333,35.5124675,0.0,None
P210+35,210.956554167,34.8535080556,0.0,None
P327+06,327.162425,5.54075833333,0.0,None
P291+38,291.797970833,37.8861494444,0.0,None
P174+17,174.713208333,17.0916625,0.0,None
P083+04,83.0078125,3.99175722222,0.0,None
P174+15,174.1464875,14.5787416667,0.0,None
P149+47,149.017416667,47.0731888889,8.01, 346416
P291+30,291.0241,30.3505297222,0.0,None
P149+42,149.874220833,42.0587222222,8.01, 369722
P009+59,9.36295,58.6130505556,0.0,None
P26Hetdex03,187.40696,49.74803,8.01, 229589
P297+03,297.796870833,2.79152972222,0.0,None
P297+00,297.830470833,0.281568888889,0.0,None
P009+54,9.7290875,53.5976886111,0.0,None
P009+56,9.42561666667,56.1044025,0.0,None
P243+02,243.386666667,2.41114472222,0.0,None
P243+07,243.37635,7.43144277778,0.0,None
P243+05,243.986433333,4.92506333333,0.0,None
P241+05,241.388383333,4.90902611111,0.0,None
P019+44,19.0948458333,43.6403361111,0.0,None
P052+21,52.2159083333,21.3278902778,0.0,None
P23Hetdex20,185.28572,47.49272,8.01, 232875
P239+38,239.4467,37.52744,0.0,None
P239+35,239.376920833,35.0171755556,0.0,None
P052+29,52.7915,28.8626261111,0.0,None
P159+77,159.972375,77.2254925,0.0,None
P341+56,341.6537125,55.8629263889,0.0,None
P315+18,315.8567625,17.9972863889,0.0,None
P290+33,290.069145833,32.8532266667,0.0,None
P001+41,1.09110833333,40.9742575,0.0,None
P356+16,356.5027,15.8343833333,0.0,None
P249+05,249.182733333,4.9576975,0.0,None
P076+44,76.5629166667,44.1049688889,0.0,None
P175+12,175.0051375,12.0730261111,0.0,None
P290+35,290.056466667,35.3630419444,0.0,None
P315+10,315.868970833,10.4672027778,0.0,None
P315+13,315.521916667,12.9742755556,0.0,None
P330+41,330.293141667,40.707985,0.0,None
P116+12,116.802929167,11.7478236111,0.0,None
P214+45,214.576229167,44.9124155556,8.68, 340572
P248+07,248.597408333,7.46414777778,0.0,None
P248+02,248.564945833,2.44359611111,0.0,None
P229+37,229.657366667,37.4690236111,0.0,None
P229+35,229.897133333,34.9605961111,0.0,None
P213+62,213.63885,62.4714716667,0.0,None
P264+18,264.2022875,17.6070872222,0.0,None
P132+34,132.29075,34.4305344444,0.0,None
P055+29,55.7476875,28.8862352778,0.0,None
P331+23,331.850604167,23.151505,0.0,None
P063+16,63.8656625,16.3996252778,0.0,None
P063+11,63.9589166667,11.3800763889,3.84, 596049
P170+42,170.814991667,42.1703252778,8.01, 441478
P132+02,132.0033625,1.79822805556,0.0,None
P080+22,80.0256416667,21.5411527778,0.0,None
